System_ID,Time_UTC,Seconds_in_day,Altitude,Latitude,Longitude,Temperature_diff_K,Absolute_temperature_degC,Relhumidity_diff_percent,Relhumidity_percent,Vapourpressure_diff_hPa,Vapourpressure_hPa
01,2022-06-29T19:32:52.000Z,70371,292.1,47.993525,7.8451680,0.02,24.60,8.1,64.2,2.878,20.225
01,2022-06-29T19:33:01.000Z,70381,293.6,47.993805,7.8453620,-0.01,24.50,8.1,64.2,2.843,20.102
01,2022-06-29T19:33:07.000Z,70386,294.6,47.994033,7.8454570,-0.01,24.50,8.1,64.2,2.843,20.102
01,2022-06-29T19:33:16.000Z,70396,294.8,47.994367,7.8455620,-0.01,24.50,8.0,64.2,2.821,20.080
01,2022-06-29T19:33:44.000Z,70423,283.2,47.995337,7.8459550,-0.01,24.50,8.0,64.2,2.821,20.080
01,2022-06-29T19:33:51.000Z,70430,283.7,47.995392,7.8460030,-0.01,24.50,8.0,64.1,2.799,20.058
01,2022-06-29T19:33:57.000Z,70437,284.1,47.995395,7.8459980,-0.01,24.50,8.1,64.2,2.843,20.102
01,2022-06-29T19:34:11.000Z,70451,284.8,47.995563,7.8460400,0.05,24.50,7.6,64.1,2.752,20.058
01,2022-06-29T19:34:20.000Z,70459,285.7,47.995935,7.8461920,0.15,24.60,7.5,64.0,2.830,20.137
01,2022-06-29T19:34:53.000Z,70493,281.9,47.996637,7.8466920,0.25,24.70,7.3,63.8,2.909,20.216
01,2022-06-29T19:35:02.000Z,70502,281.6,47.996637,7.8469880,0.37,24.80,7.0,63.7,2.967,20.294
01,2022-06-29T19:35:11.000Z,70511,281.9,47.996400,7.8473850,0.37,24.80,6.8,63.4,2.878,20.205
01,2022-06-29T19:35:20.000Z,70519,282.4,47.996220,7.8477480,0.48,24.91,6.7,63.3,2.979,20.306
01,2022-06-29T19:35:29.000Z,70529,283.7,47.996063,7.8481450,0.48,24.91,6.3,62.9,2.844,20.171
01,2022-06-29T19:35:57.000Z,70556,284.2,47.996040,7.8493170,0.58,25.01,6.1,62.7,2.922,20.249
01,2022-06-29T19:36:06.000Z,70566,287.3,47.996370,7.8493730,0.63,25.01,6.1,62.6,2.949,20.204
01,2022-06-29T19:36:15.000Z,70575,292.5,47.996668,7.8493800,0.63,25.01,5.8,62.3,2.858,20.114
01,2022-06-29T19:36:21.000Z,70581,301.6,47.996785,7.8494130,0.63,25.01,5.7,62.2,2.836,20.091
01,2022-06-29T19:36:30.000Z,70590,303.1,47.996790,7.8494000,0.63,25.01,5.7,62.2,2.836,20.091
01,2022-06-29T19:36:58.000Z,70618,306.2,47.997222,7.8495680,0.63,25.01,5.7,62.2,2.836,20.091
01,2022-06-29T19:37:05.000Z,70624,307.0,47.997205,7.8498330,0.66,25.01,5.5,62.4,2.828,20.136
01,2022-06-29T19:37:11.000Z,70630,306.8,47.997167,7.8500380,0.77,25.11,5.0,61.9,2.792,20.100
01,2022-06-29T19:37:20.000Z,70639,307.9,47.997062,7.8503730,0.77,25.11,4.5,61.3,2.610,19.918
01,2022-06-29T19:37:29.000Z,70649,310.5,47.997003,7.8507480,0.87,25.21,4.2,61.0,2.640,19.948
01,2022-06-29T19:40:42.000Z,70842,298.9,48.000892,7.8539650,1.23,25.42,4.9,61.8,3.273,20.469
01,2022-06-29T19:40:48.000Z,70848,293.9,48.000930,7.8539950,0.71,24.91,6.7,63.7,3.245,20.441
01,2022-06-29T19:40:55.000Z,70854,296.0,48.000930,7.8539900,0.71,24.91,6.8,63.8,3.267,20.463
01,2022-06-29T19:41:02.000Z,70861,295.2,48.000930,7.8539900,0.66,24.80,6.6,63.8,3.124,20.339
01,2022-06-29T19:41:27.000Z,70887,295.0,48.000925,7.8539880,0.66,24.80,6.8,64.0,3.191,20.406
01,2022-06-29T19:41:36.000Z,70896,293.9,48.001062,7.8540470,0.56,24.70,6.9,64.2,3.112,20.326
01,2022-06-29T19:41:45.000Z,70904,293.9,48.001488,7.8542250,0.46,24.60,7.1,64.3,3.032,20.247
01,2022-06-29T19:41:54.000Z,70913,292.7,48.001903,7.8543920,0.46,24.60,7.2,64.4,3.077,20.291
01,2022-06-29T19:42:00.000Z,70919,290.8,48.002030,7.8544350,0.25,24.40,7.4,64.6,2.874,20.089
01,2022-06-29T19:42:26.000Z,70946,288.0,48.002617,7.8545850,0.27,24.40,7.1,64.6,2.792,20.089
01,2022-06-29T19:42:32.000Z,70952,286.5,48.002933,7.8546700,0.07,24.19,7.4,64.9,2.634,19.931
01,2022-06-29T19:42:38.000Z,70957,285.6,48.003167,7.8547130,0.07,24.19,7.4,64.9,2.634,19.931
01,2022-06-29T19:42:45.000Z,70964,285.5,48.003348,7.8547570,-0.04,24.09,7.2,64.8,2.470,19.767
01,2022-06-29T19:42:54.000Z,70974,284.1,48.003403,7.8547880,-0.04,24.09,7.2,64.8,2.470,19.767
01,2022-06-29T19:43:22.000Z,71001,282.2,48.004000,7.8548670,-0.13,23.99,7.2,65.0,2.356,19.710
01,2022-06-29T19:43:31.000Z,71011,281.3,48.004477,7.8549750,-0.13,23.99,7.3,65.1,2.377,19.732
01,2022-06-29T19:43:40.000Z,71020,279.9,48.004948,7.8550280,-0.13,23.99,7.5,65.3,2.440,19.795
01,2022-06-29T19:43:49.000Z,71029,278.9,48.005478,7.8551270,-0.13,23.99,7.5,65.3,2.440,19.795
01,2022-06-29T19:47:03.000Z,71223,233.5,48.009205,7.8559080,-0.43,23.58,8.9,66.9,2.467,19.793
01,2022-06-29T19:47:12.000Z,71231,245.0,48.009315,7.8559770,-0.54,23.47,8.9,66.9,2.346,19.672
01,2022-06-29T19:47:40.000Z,71260,248.1,48.009400,7.8560130,-0.54,23.47,9.2,67.3,2.449,19.775
01,2022-06-29T19:47:54.000Z,71274,248.3,48.009395,7.8560170,-0.54,23.47,9.1,67.2,2.408,19.734
01,2022-06-29T19:48:03.000Z,71282,253.1,48.009470,7.8560550,-0.50,23.47,9.0,67.4,2.412,19.816
01,2022-06-29T19:48:12.000Z,71291,258.2,48.009788,7.8563580,-0.60,23.37,8.5,67.0,2.147,19.552
01,2022-06-29T19:48:21.000Z,71301,261.6,48.010140,7.8566120,-0.60,23.37,8.5,67.0,2.147,19.552
01,2022-06-29T19:48:46.000Z,71326,272.5,48.010830,7.8573400,-0.70,23.27,8.5,66.9,2.007,19.411
01,2022-06-29T19:49:03.000Z,71342,282.6,48.010452,7.8581570,-0.96,22.96,8.9,67.5,1.816,19.217
01,2022-06-29T19:49:22.000Z,71362,285.9,48.010063,7.8591200,-0.96,22.96,8.9,67.5,1.816,19.217
01,2022-06-29T19:49:31.000Z,71371,282.9,48.009912,7.8596120,-0.96,22.96,8.8,67.4,1.776,19.177
